domain_name,target_series,stage_order,forecast_stage,model_name,n,mse,rmse,mae
Labour,PAYEMS,3,after_week_2,Labour Factor Ridge,78,5982587.6474074665,2445.9328787616937,644.27720599540328
Labour,PAYEMS,3,after_week_2,Labour Bridge Ridge,78,6014810.6400808645,2452.5110886764332,704.93252756692289
Labour,PAYEMS,3,after_week_2,Labour 12-Month Mean,78,6507242.610309829,2550.9297540915995,678.61217948717945
Labour,PAYEMS,3,after_week_2,Labour Equal-Weight Ensemble,78,12973176.049652155,3601.829542003918,855.02220930311978
Labour,PAYEMS,3,after_week_2,Labour AR(1),78,79390574.886294916,8910.1388814257498,1492.3559382739663
Labour,PAYEMS,4,month_end,Labour Bridge Ridge,78,5948530.0993433129,2438.9608646600527,702.82117516435005
Labour,PAYEMS,4,month_end,Labour Factor Ridge,78,6501263.0815865016,2549.7574554428707,698.13269427848581
Labour,PAYEMS,4,month_end,Labour 12-Month Mean,78,6512184.0056980057,2551.8981182049579,679.06623931623926
Labour,PAYEMS,4,month_end,Labour Equal-Weight Ensemble,78,11909537.384350758,3451.019760063793,829.49909744663273
Labour,PAYEMS,4,month_end,Labour AR(1),78,79458286.605837241,8913.9377721541914,1505.1907985795501
Labour,PAYEMS,5,pre_employment_report,Labour Bridge Ridge,78,5921537.542725361,2433.4209546901993,706.33741211393465
Labour,PAYEMS,5,pre_employment_report,Labour Factor Ridge,78,6471098.9516403256,2543.835480458657,698.8120858754088
Labour,PAYEMS,5,pre_employment_report,Labour 12-Month Mean,78,6511822.6577635333,2551.8273173871962,678.491452991453
Labour,PAYEMS,5,pre_employment_report,Labour Equal-Weight Ensemble,78,11885323.454065993,3447.509746768817,825.48174463288024
Labour,PAYEMS,5,pre_employment_report,Labour AR(1),78,79458354.538751796,8913.9415826418681,1505.3876283005391
Labour,UNRATE,1,month_open,Labour AR(1),77,4.3733723215151512,2.0912609405607783,0.8352959697775757
Labour,UNRATE,1,month_open,Labour Equal-Weight Ensemble,77,4.679939072502215,2.1633166833596542,0.64865465627966035
Labour,UNRATE,1,month_open,Labour 12-Month Mean,77,5.1116829004329007,2.2609031161093349,1.1616883116883119
Labour,UNRATE,1,month_open,Labour Factor Ridge,77,8.4229002163123852,2.9022233229564511,0.88803842878751726
Labour,UNRATE,1,month_open,Labour Bridge Ridge,77,9.0708295056485255,3.0117817825414455,0.79635661197566165
Labour,UNRATE,2,after_week_1,Labour Equal-Weight Ensemble,77,3.0086838441126726,1.7345558059954924,0.52455791028144294
Labour,UNRATE,2,after_week_1,Labour Bridge Ridge,77,3.749927716704653,1.9364730095471645,0.62581768535180216
Labour,UNRATE,2,after_week_1,Labour AR(1),77,4.1530236482802065,2.0378968689019095,0.76960725826409593
Labour,UNRATE,2,after_week_1,Labour Factor Ridge,77,4.7843937314572935,2.1873257031035167,0.76729767066029542
Labour,UNRATE,2,after_week_1,Labour 12-Month Mean,77,4.9577714646464655,2.226605367964082,1.1258658008658009
Labour,UNRATE,3,after_week_2,Labour Equal-Weight Ensemble,78,1.9214607019440826,1.3861676312567981,0.40461292289344086
Labour,UNRATE,3,after_week_2,Labour Factor Ridge,78,2.4605162012034509,1.5686032644373309,0.54720616970134528
Labour,UNRATE,3,after_week_2,Labour Bridge Ridge,78,2.5462564093461006,1.5956993480433903,0.5348048965403317
Labour,UNRATE,3,after_week_2,Labour AR(1),78,3.351006586277697,1.8305754795357927,0.63361852159095289
Labour,UNRATE,3,after_week_2,Labour 12-Month Mean,78,4.582378027065527,2.1406489733409182,1.065277777777778
Labour,UNRATE,4,month_end,Labour Equal-Weight Ensemble,78,1.7343285802472417,1.3169390951168705,0.38782627973916906
Labour,UNRATE,4,month_end,Labour Bridge Ridge,78,2.1671191276631876,1.4721138297234992,0.4933494236487867
Labour,UNRATE,4,month_end,Labour Factor Ridge,78,2.6332714124849272,1.6227357802442539,0.55263379822160097
Labour,UNRATE,4,month_end,Labour AR(1),78,3.1295306843168857,1.7690479598690607,0.6242716226734768
Labour,UNRATE,4,month_end,Labour 12-Month Mean,78,4.5604513888888887,2.1355213388980427,1.0575854700854701
Labour,UNRATE,5,pre_employment_report,Labour Equal-Weight Ensemble,78,1.7161794986916465,1.3100303426606754,0.38353651344823786
Labour,UNRATE,5,pre_employment_report,Labour Bridge Ridge,78,2.1050960451673237,1.450894911827636,0.48068923919050188
Labour,UNRATE,5,pre_employment_report,Labour Factor Ridge,78,2.6741717331990702,1.635289495226784,0.55696696772960286
Labour,UNRATE,5,pre_employment_report,Labour AR(1),78,3.1214871399490787,1.7667730867174423,0.61405598734527278
Labour,UNRATE,5,pre_employment_report,Labour 12-Month Mean,78,4.5201201923076919,2.126057429212036,1.0385683760683762
