domain_name,target_series,stage_order,forecast_stage,selected_model,interval_method,is_primary,n,covered,violations,coverage,coverage_gap_from_080,wilson_95_low,wilson_95_high,lr_uc,p_uc,n00,n01,n10,n11,lr_ind,p_ind,lr_cc,p_cc,average_interval_width,average_half_width,mean_interval_score,median_interval_score,lower_miss_rate,upper_miss_rate,minimum_calibration_count,maximum_calibration_count
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,rolling_q80,0,40,36,4,0.9,0.09999999999999998,0.7694822477247771,0.9604204713173936,2.9352011227800467,0.08666786826545826,32,4,3,0,0.6771783041960333,0.41056006153253877,3.61237942697608,0.16427889545164812,9.47168020345305,4.735840101726525,11.801645728022578,9.462733279030047,0.075,0.025,36,48
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,exp_weighted_q80,1,40,35,5,0.875,0.07499999999999996,0.738878801611489,0.945404997490546,1.5728148158207418,0.2097987046721094,30,5,4,0,1.1627713196838165,0.28089153375741666,2.7355861355045583,0.2546683756720095,8.494750227200665,4.247375113600333,11.727438619300072,9.351965171457081,0.1,0.025,36,48
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,gaussian_rmse,0,40,36,4,0.9,0.09999999999999998,0.7694822477247771,0.9604204713173936,2.9352011227800467,0.08666786826545826,32,4,3,0,0.6771783041960333,0.41056006153253877,3.61237942697608,0.16427889545164812,9.98600645617732,4.99300322808866,11.936674679948906,9.859636364008864,0.075,0.025,36,48
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,rolling_q80,0,40,36,4,0.9,0.09999999999999998,0.7694822477247771,0.9604204713173936,2.9352011227800467,0.08666786826545826,32,4,3,0,0.6771783041960333,0.41056006153253877,3.61237942697608,0.16427889545164812,9.462755821754273,4.7313779108771366,11.805010581820827,9.462733279030045,0.075,0.025,36,48
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,exp_weighted_q80,1,40,34,6,0.85,0.04999999999999993,0.709276756335103,0.9293881228267964,0.6702894140961959,0.41295072231710866,28,6,5,0,1.7992462372371705,0.17980364783891298,2.4695356513333664,0.29090229457422884,8.304558475806882,4.152279237903441,11.742037556562803,9.068340645866124,0.125,0.025,36,48
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,gaussian_rmse,0,40,36,4,0.9,0.09999999999999998,0.7694822477247771,0.9604204713173936,2.9352011227800467,0.08666786826545826,32,4,3,0,0.6771783041960333,0.41056006153253877,3.61237942697608,0.16427889545164812,9.957519832750936,4.978759916375468,11.96889276395425,9.827977145657,0.075,0.025,36,48
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,rolling_q80,0,40,36,4,0.9,0.09999999999999998,0.7694822477247771,0.9604204713173936,2.9352011227800467,0.08666786826545826,32,4,3,0,0.6771783041960333,0.41056006153253877,3.61237942697608,0.16427889545164812,9.341447645301383,4.670723822650691,11.765318331530327,9.440397860117875,0.075,0.025,36,48
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,exp_weighted_q80,1,39,34,5,0.8717948717948718,0.07179487179487176,0.7329425662025455,0.9439718246302862,1.3972270138348186,0.23718841116317438,30,4,3,1,0.46367091591562115,0.49591334448011676,1.8608979297504398,0.3943766093732953,5.22985057734636,2.61492528867318,5.876349268283472,5.549871325311351,0.1282051282051282,0.0,34,48
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,gaussian_rmse,0,39,38,1,0.9743589743589743,0.1743589743589743,0.8681900983014993,0.99545929689901,10.876525465841036,0.0009739077984913734,37,1,0,0,0.0,1.0,10.876525465841036,0.004347028664451436,6.889817550981334,3.4449087754906667,7.166560420325454,7.302388223136264,0.02564102564102564,0.0,34,48
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,rolling_q80,0,39,37,2,0.9487179487179487,0.14871794871794863,0.8311435995238639,0.9858220445847259,7.173080306787883,0.0074005595287745946,35,2,1,0,0.10962333895174403,0.7405733671211114,7.282703645739627,0.026216879423019594,5.860915090290593,2.9304575451452965,6.12782858137983,6.2724413600030005,0.05128205128205128,0.0,34,48
