domain_name,target_series,stage_order,forecast_stage,selected_model,primary_method,benchmark_method,n,primary_coverage,benchmark_coverage,coverage_diff_p_minus_b,mean_score_diff_p_minus_b,median_score_diff_p_minus_b,hac_bw_score,hac_se_score,hac_z_score,hac_p_score_two_sided,mean_width_diff_p_minus_b,median_width_diff_p_minus_b
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,exp_weighted_q80,rolling_q80,40,0.875,0.9,-0.025000000000000022,-0.07757196252075382,-0.11076810757296407,3,0.3917382877483704,-0.198019864146089,0.8430295221182946,-0.9680055945536068,-0.7385134674050384
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,exp_weighted_q80,gaussian_rmse,40,0.85,0.9,-0.050000000000000044,-0.22685520739144766,-0.8965794652670436,3,0.533995558255609,-0.42482601940081743,0.670963508456561,-1.6529613569440542,-1.3863768394753917
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,exp_weighted_q80,rolling_q80,40,0.85,0.9,-0.050000000000000044,-0.02328077496752421,-0.3720572142517504,3,0.4174944472099204,-0.055763076905831044,0.9555305495138671,-1.0368891694945017,-0.9411537850783285
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,exp_weighted_q80,gaussian_rmse,39,0.8717948717948718,0.9743589743589743,-0.10256410256410253,-1.2902111520419832,-1.8063836446707509,3,0.2532802924673399,-5.094005299320135,3.5057695990659e-07,-1.659966973634976,-1.8809568944316801
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,exp_weighted_q80,rolling_q80,39,0.8717948717948718,0.9487179487179487,-0.07692307692307687,-0.2514793130963574,-0.55952779377062,3,0.1826760657400722,-1.3766407332977304,0.16862335070740686,-0.6310645129442349,-0.5870381780223255
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,exp_weighted_q80,gaussian_rmse,40,0.875,0.95,-0.07499999999999996,-0.8202895809769786,-1.2926004669289233,3,0.27123483244815333,-3.024278163586446,0.0024922717333129007,-1.2335797852607162,-1.3563566267509257
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,exp_weighted_q80,rolling_q80,40,0.875,0.95,-0.07499999999999996,-0.47275522481549415,-0.7659480906994531,3,0.1774125076953125,-2.6647231976868397,0.007705171578946679,-0.7819152928093873,-0.8044191534382801
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,exp_weighted_q80,gaussian_rmse,40,0.9,0.95,-0.04999999999999993,-0.7919603926166465,-1.2971802896419287,3,0.2577076054963609,-3.0730967023316267,0.0021184982522455265,-1.1717009699161185,-1.3609071526923513
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,exp_weighted_q80,rolling_q80,40,0.9,0.95,-0.04999999999999993,-0.4970388001740291,-0.8044191534382801,3,0.16139506866958844,-3.0796405631920387,0.002072505474305597,-0.772669422382363,-0.8396483872665712
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,exp_weighted_q80,gaussian_rmse,40,0.875,0.95,-0.07499999999999996,-0.7457484701727889,-1.268981017213572,3,0.3049827124369787,-2.445215547510384,0.014476559395604216,-1.2283831106231105,-1.3455489652241073
