domain_name,target_series,stage_order,forecast_stage,selected_model,variant,n,covered,coverage,wilson_95_low,wilson_95_high,average_interval_width,mean_interval_score
Inflation,PCEPI,3,month_end,Inflation Bridge Ridge,short_memory,40,35,0.875,0.738878801611489,0.94540499749054596,6.3217972672645519,7.6106072085977043
Inflation,PCEPI,3,month_end,Inflation Bridge Ridge,long_memory,40,36,0.90000000000000002,0.76948224772477714,0.96042047131739361,6.7113692149344661,7.4505757951778921
Inflation,PCEPI,4,pre_release,Inflation Bridge Ridge,short_memory,40,36,0.90000000000000002,0.76948224772477714,0.96042047131739361,6.1784783017015608,7.5235913991937071
Inflation,PCEPI,4,pre_release,Inflation Bridge Ridge,long_memory,40,36,0.90000000000000002,0.76948224772477714,0.96042047131739361,6.5759017864072238,7.4660566695989958
Inflation,PCEPILFE,1,month_open,Inflation Bridge Ridge,short_memory,38,33,0.86842105263157898,0.72673140557708693,0.94246132309879871,5.0050166695652978,5.484536431126922
Inflation,PCEPILFE,1,month_open,Inflation Bridge Ridge,long_memory,38,33,0.86842105263157898,0.72673140557708693,0.94246132309879871,5.1100118617366856,5.5760043430935591
Inflation,PCEPILFE,2,mid_month,Inflation Ridge-AR Ensemble,short_memory,39,33,0.84615384615384615,0.70270536351073309,0.927525276230179,4.6672693316520544,5.2297642322324984
Inflation,PCEPILFE,2,mid_month,Inflation Ridge-AR Ensemble,long_memory,39,35,0.89743589743589747,0.76421145537143476,0.95938668655331627,4.8464137704020711,5.2641830639730331
Inflation,PCEPILFE,3,month_end,Inflation Bridge Ridge,short_memory,40,35,0.875,0.738878801611489,0.94540499749054596,4.1779872502047599,4.9506735279010359
Inflation,PCEPILFE,3,month_end,Inflation Bridge Ridge,long_memory,40,36,0.90000000000000002,0.76948224772477714,0.96042047131739361,4.4714738283329893,4.9695082130525305
Inflation,PCEPILFE,4,pre_release,Inflation Bridge Ridge,short_memory,40,35,0.875,0.738878801611489,0.94540499749054596,4.169042023879439,4.9127426357397308
Inflation,PCEPILFE,4,pre_release,Inflation Bridge Ridge,long_memory,40,36,0.90000000000000002,0.76948224772477714,0.96042047131739361,4.4090301760624655,4.8857563332243767
Labour,CES0500000003,1,month_open,Labour Bridge Ridge,short_memory,41,34,0.82926829268292679,0.68737387599595812,0.91474748022404995,4.4110361556316917,6.0800834783644877
Labour,CES0500000003,1,month_open,Labour Bridge Ridge,long_memory,41,37,0.90243902439024393,0.77452318694476618,0.96140291510191056,5.7414974038308042,6.0403451861311703
Labour,CES0500000003,2,after_week_1,Labour Bridge Ridge,short_memory,41,33,0.80487804878048785,0.65986414812936578,0.89765562614841976,4.3886617731638724,5.6817109706149989
Labour,CES0500000003,2,after_week_1,Labour Bridge Ridge,long_memory,41,37,0.90243902439024393,0.77452318694476618,0.96140291510191056,5.6953875003331165,6.0507429367651717
Labour,CES0500000003,3,after_week_2,Labour Bridge Ridge,short_memory,41,31,0.75609756097560976,0.60656663777424313,0.86174997261909669,4.3824199966449351,5.554089671942287
Labour,CES0500000003,3,after_week_2,Labour Bridge Ridge,long_memory,41,36,0.87804878048780488,0.74455788479023122,0.94676663531422278,5.7635020867801332,6.1248821703127359
Labour,CES0500000003,4,month_end,Labour Equal-Weight Ensemble,short_memory,41,34,0.82926829268292679,0.68737387599595812,0.91474748022404995,3.6062410230319886,4.462628029702592
Labour,CES0500000003,4,month_end,Labour Equal-Weight Ensemble,long_memory,41,38,0.92682926829268297,0.80572551462280961,0.9748021693660901,5.2158931113431883,5.4610349721487337
Labour,CES0500000003,5,pre_employment_report,Labour Equal-Weight Ensemble,short_memory,41,34,0.82926829268292679,0.68737387599595812,0.91474748022404995,3.5853954889627473,4.5087887567062825
Labour,CES0500000003,5,pre_employment_report,Labour Equal-Weight Ensemble,long_memory,41,38,0.92682926829268297,0.80572551462280961,0.9748021693660901,5.2361901973745173,5.4764157562381488
Labour,PAYEMS,1,month_open,Labour 12-Month Mean,short_memory,41,35,0.85365853658536583,0.71556541957519038,0.93115751858704066,316.67886178861784,396.41463414634148
Labour,PAYEMS,1,month_open,Labour 12-Month Mean,long_memory,41,39,0.95121951219512191,0.83861021129629143,0.98651905463483081,912.45528455284546,945.66666666666674
Labour,PAYEMS,2,after_week_1,Labour Bridge Ridge,short_memory,41,36,0.87804878048780488,0.74455788479023122,0.94676663531422278,625.35202719339657,708.52087743453376
Labour,PAYEMS,2,after_week_1,Labour Bridge Ridge,long_memory,41,38,0.92682926829268297,0.80572551462280961,0.9748021693660901,829.86944658087123,864.46044970983735
