domain_name,target_series,stage_order,forecast_stage,selected_model,variant,n,mean_score_diff_variant_minus_primary,median_score_diff_variant_minus_primary,hac_bw_score,hac_se_score,hac_z_score,hac_p_score_two_sided
Labour,CES0500000003,2,after_week_1,Labour Bridge Ridge,short_memory,41,-0.074266654607932789,-0.090654594696291113,3,0.24512011487895793,-0.30298066172417631,0.7619045990704314
Labour,CES0500000003,2,after_week_1,Labour Bridge Ridge,long_memory,41,0.29476531154224045,0.37875430421612499,3,0.17151464863713872,1.7186013782755918,0.085686980546809011
Labour,CES0500000003,3,after_week_2,Labour Bridge Ridge,short_memory,41,-0.2114573411590889,0,3,0.25965718498373097,-0.81437123017542512,0.41543231495566246
Labour,CES0500000003,3,after_week_2,Labour Bridge Ridge,long_memory,41,0.35933515721135983,0.17975727141745601,3,0.18983725630535733,1.8928589898779482,0.058376624258645871
Labour,CES0500000003,4,month_end,Labour Equal-Weight Ensemble,short_memory,41,-0.45381629222355807,-0.16720738171836569,3,0.23803846785677227,-1.9064829996159247,0.0565875692776725
Labour,CES0500000003,4,month_end,Labour Equal-Weight Ensemble,long_memory,41,0.54459065022258424,0.483824015987949,3,0.34082595667845339,1.5978555610316068,0.11007512602052394
Labour,CES0500000003,5,pre_employment_report,Labour Equal-Weight Ensemble,short_memory,41,-0.42936444291447656,-0.22716991244235984,3,0.2631102074170375,-1.6318805991206611,0.10270464179239225
Labour,CES0500000003,5,pre_employment_report,Labour Equal-Weight Ensemble,long_memory,41,0.53826255661738931,0.42417277685819155,3,0.32772712462499454,1.6424107624088251,0.10050490601211459
Labour,PAYEMS,1,month_open,Labour 12-Month Mean,short_memory,41,-143.52845528455288,-74.1666666666666,3,79.083733789221242,-1.8148922465787163,0.069540470302176471
Labour,PAYEMS,1,month_open,Labour 12-Month Mean,long_memory,41,405.72357723577232,131.66666666666663,3,142.83152712398822,2.8405743844184665,0.0045032369403759098
Labour,PAYEMS,2,after_week_1,Labour Bridge Ridge,short_memory,41,-40.009063033669122,-55.074814049936322,3,20.573607098970744,-1.9446790658148951,0.051813616621770642
Labour,PAYEMS,2,after_week_1,Labour Bridge Ridge,long_memory,41,115.9305092416344,73.93969685673153,3,37.689563843364915,3.0759313035150302,0.0020984618680546241
Labour,PAYEMS,3,after_week_2,Labour Factor Ridge,short_memory,41,-51.687359062796673,-31.565236333785094,3,30.282565321982663,-1.7068355508598831,0.087852622600695263
Labour,PAYEMS,3,after_week_2,Labour Factor Ridge,long_memory,41,93.509009993214804,81.35110180827769,3,38.390051148697999,2.4357615370456771,0.01486047749980246
Labour,PAYEMS,4,month_end,Labour Bridge Ridge,short_memory,41,-30.532135764569997,-67.52054531632217,3,39.984407899728254,-0.76360104771684023,0.44510502473101798
Labour,PAYEMS,4,month_end,Labour Bridge Ridge,long_memory,41,123.8620316112043,96.155102523733603,3,50.141780344693316,2.4702360139534427,0.013502393575924199
Labour,PAYEMS,5,pre_employment_report,Labour Bridge Ridge,short_memory,41,-75.681335905939804,-57.47649960780393,3,34.103843467589535,-2.2191438914462323,0.026476936822328323
Labour,PAYEMS,5,pre_employment_report,Labour Bridge Ridge,long_memory,41,159.55796020890966,105.87658524381561,3,56.515538481476533,2.8232582489009848,0.0047538262467292647
Labour,UNRATE,1,month_open,Labour AR(1),short_memory,40,-0.16405619397716276,-0.085231508372370257,3,0.05624935553721376,-2.9165879752813444,0.0035388290796489752
Labour,UNRATE,1,month_open,Labour AR(1),long_memory,40,0.30617143712039369,0.27701772049411,3,0.068866631302161474,4.4458605180936743,8.7540736428692867e-06
Labour,UNRATE,2,after_week_1,Labour Equal-Weight Ensemble,short_memory,40,0.01786467572134124,0,3,0.012106774512343038,1.4755933302571991,0.14005309672044497
Labour,UNRATE,2,after_week_1,Labour Equal-Weight Ensemble,long_memory,40,-0.0080689088851592095,0,3,0.015074767158372018,-0.53525927136314067,0.59247058567484778
Labour,UNRATE,3,after_week_2,Labour Equal-Weight Ensemble,short_memory,40,0.014305793443221124,0,3,0.0138192750915665,1.0352057794950136,0.30057282027642951
Labour,UNRATE,3,after_week_2,Labour Equal-Weight Ensemble,long_memory,40,-0.014217033906827339,0,3,0.013111142757765001,-1.0843474264214978,0.27821078457428383
Labour,UNRATE,4,month_end,Labour Equal-Weight Ensemble,short_memory,40,0.017592301450601037,0,3,0.014518453820126769,1.2117200404779349,0.22561956509944925
Labour,UNRATE,4,month_end,Labour Equal-Weight Ensemble,long_memory,40,-0.0069687449720354424,0,3,0.011488487125600659,-0.60658508782296183,0.5441262990143918
Labour,UNRATE,5,pre_employment_report,Labour Equal-Weight Ensemble,short_memory,40,0.024792397898097306,0,3,0.01502576615629639,1.6499922626380226,0.098944518598875764
Labour,UNRATE,5,pre_employment_report,Labour Equal-Weight Ensemble,long_memory,40,-0.02034239589124941,0,3,0.010246644026387088,-1.9852739920371794,0.047113995993040447
