domain_name,target_series,stage_order,forecast_stage,target_period,selected_model,variant,forecast_date,actual_release_date,point_forecast,actual,prior_observable_error_count,calibration_window_count,interval_half_width,lower_80,upper_80,interval_width,interval_covered,violation,interval_score
Inflation,CPILFESL,1,month_open,2024-10,Inflation 12-Month Mean,long_memory,2024-10-01,2024-11-13,3.2133728942186579,3.3584847110301297,54,48,2.6684557884209426,0.54491710579771535,5.8818286826396005,5.3369115768418851,1,0,5.3369115768418851
Inflation,CPILFESL,2,mid_month,2024-10,Inflation Ridge-AR Ensemble,short_memory,2024-10-15,2024-11-13,3.3265955260613609,3.3584847110301297,56,48,1.6077957881296436,1.7187997379317173,4.9343913141910045,3.2155915762592873,1,0,3.2155915762592873
Inflation,CPILFESL,2,mid_month,2024-10,Inflation Ridge-AR Ensemble,long_memory,2024-10-15,2024-11-13,3.3265955260613609,3.3584847110301297,56,48,2.0452345986770748,1.2813609273842861,5.3718301247384357,4.0904691973541496,1,0,4.0904691973541496
Inflation,CPILFESL,3,month_end,2024-10,Inflation Ridge-AR Ensemble,short_memory,2024-10-31,2024-11-13,3.3265955260613609,3.3584847110301297,56,48,1.6077957881296436,1.7187997379317173,4.9343913141910045,3.2155915762592873,1,0,3.2155915762592873
Inflation,CPILFESL,3,month_end,2024-10,Inflation Ridge-AR Ensemble,long_memory,2024-10-31,2024-11-13,3.3265955260613609,3.3584847110301297,56,48,2.1379452163945949,1.188650309666766,5.4645407424559558,4.2758904327891898,1,0,4.2758904327891898
Inflation,CPILFESL,4,pre_release,2024-10,Inflation Ridge-AR Ensemble,short_memory,2024-11-12,2024-11-13,3.3127356311400638,3.3584847110301297,56,48,1.6137530631356301,1.6989825680044337,4.9264886942756938,3.2275061262712601,1,0,3.2275061262712601
Inflation,CPILFESL,4,pre_release,2024-10,Inflation Ridge-AR Ensemble,long_memory,2024-11-12,2024-11-13,3.3127356311400638,3.3584847110301297,56,48,2.0499219933015933,1.2628136378384704,5.3626576244416571,4.0998439866031866,1,0,4.0998439866031866
Inflation,CPILFESL,1,month_open,2024-11,Inflation 12-Month Mean,short_memory,2024-11-01,2024-12-11,3.2067440888396526,3.69131922257111,55,48,2.48999788683264,0.71674620200701256,5.6967419756722926,4.97999577366528,1,0,4.97999577366528
Inflation,CPILFESL,1,month_open,2024-11,Inflation 12-Month Mean,long_memory,2024-11-01,2024-12-11,3.2067440888396526,3.69131922257111,55,48,2.4951717657703654,0.71157232306928719,5.7019158546100179,4.9903435315407307,1,0,4.9903435315407307
Inflation,CPILFESL,2,mid_month,2024-11,Inflation Ridge-AR Ensemble,short_memory,2024-11-15,2024-12-11,2.968039183211916,3.69131922257111,57,48,1.5951383439110201,1.3729008393008959,4.563177527122936,3.1902766878220401,1,0,3.1902766878220401
Inflation,CPILFESL,2,mid_month,2024-11,Inflation Ridge-AR Ensemble,long_memory,2024-11-15,2024-12-11,2.968039183211916,3.69131922257111,57,48,2.0452345986770748,0.92280458453484115,5.0132737818889908,4.0904691973541496,1,0,4.0904691973541496
Inflation,CPILFESL,3,month_end,2024-11,Inflation Ridge-AR Ensemble,short_memory,2024-11-30,2024-12-11,2.968039183211916,3.69131922257111,57,48,1.5951383439110201,1.3729008393008959,4.563177527122936,3.1902766878220401,1,0,3.1902766878220401
Inflation,CPILFESL,3,month_end,2024-11,Inflation Ridge-AR Ensemble,long_memory,2024-11-30,2024-12-11,2.968039183211916,3.69131922257111,57,48,2.0733324949215053,0.89470668829041067,5.0413716781334212,4.1466649898430106,1,0,4.1466649898430106
Inflation,CPILFESL,4,pre_release,2024-11,Inflation Ridge-AR Ensemble,short_memory,2024-12-10,2024-12-11,2.9860472856082425,3.69131922257111,57,48,1.6137530631356301,1.3722942224726125,4.599800348743873,3.2275061262712601,1,0,3.2275061262712605
Inflation,CPILFESL,4,pre_release,2024-11,Inflation Ridge-AR Ensemble,long_memory,2024-12-10,2024-12-11,2.9860472856082425,3.69131922257111,57,48,2.0499219933015933,0.9361252923066492,5.0359692789098354,4.0998439866031866,1,0,4.0998439866031866
Inflation,CPILFESL,1,month_open,2024-12,Inflation 12-Month Mean,short_memory,2024-12-01,2025-01-15,3.2467594283499324,2.6970477578299068,56,48,2.13844614414338,1.1083132842065524,5.3852055724933123,4.2768922882867599,1,0,4.2768922882867599
Inflation,CPILFESL,1,month_open,2024-12,Inflation 12-Month Mean,long_memory,2024-12-01,2025-01-15,3.2467594283499324,2.6970477578299068,56,48,2.4951717657703654,0.751587662579567,5.7419311941202977,4.9903435315407307,1,0,4.9903435315407307
Inflation,CPILFESL,2,mid_month,2024-12,Inflation Ridge-AR Ensemble,short_memory,2024-12-15,2025-01-15,3.3115114753206902,2.6970477578299068,58,48,1.5951383439110201,1.7163731314096702,4.9066498192317098,3.1902766878220401,1,0,3.1902766878220397
Inflation,CPILFESL,2,mid_month,2024-12,Inflation Ridge-AR Ensemble,long_memory,2024-12-15,2025-01-15,3.3115114753206902,2.6970477578299068,58,48,1.9619854040524567,1.3495260712682335,5.2734968793731465,3.9239708081049134,1,0,3.9239708081049129
Inflation,CPILFESL,3,month_end,2024-12,Inflation Ridge-AR Ensemble,short_memory,2024-12-31,2025-01-15,3.3115114753206902,2.6970477578299068,58,48,1.5951383439110201,1.7163731314096702,4.9066498192317098,3.1902766878220401,1,0,3.1902766878220397
Inflation,CPILFESL,3,month_end,2024-12,Inflation Ridge-AR Ensemble,long_memory,2024-12-31,2025-01-15,3.3115114753206902,2.6970477578299068,58,48,2.0733324949215053,1.2381789803991849,5.384843970242196,4.1466649898430106,1,0,4.1466649898430106
Inflation,CPILFESL,4,pre_release,2024-12,Inflation Ridge-AR Ensemble,short_memory,2025-01-14,2025-01-15,3.3068283700033554,2.6970477578299068,58,48,1.5878072195653958,1.7190211504379596,4.8946355895687512,3.1756144391307917,1,0,3.1756144391307917
Inflation,CPILFESL,4,pre_release,2024-12,Inflation Ridge-AR Ensemble,long_memory,2025-01-14,2025-01-15,3.3068283700033554,2.6970477578299068,58,48,1.9350969844621124,1.371731385541243,5.2419253544654678,3.8701939689242248,1,0,3.8701939689242248
Inflation,CPILFESL,1,month_open,2025-01,Inflation 12-Month Mean,short_memory,2025-01-01,2025-02-12,3.2468687084294956,5.3441646267824439,57,48,2.1022511143161005,1.1446175941133951,5.3491198227455961,4.2045022286322009,1,0,4.2045022286322009
Inflation,CPILFESL,1,month_open,2025-01,Inflation 12-Month Mean,long_memory,2025-01-01,2025-02-12,3.2468687084294956,5.3441646267824439,57,48,2.4951717657703654,0.75169694265913023,5.742040474199861,4.9903435315407307,1,0,4.9903435315407307
Inflation,CPILFESL,2,mid_month,2025-01,Inflation Ridge-AR Ensemble,short_memory,2025-01-15,2025-02-12,2.2341629777139236,5.3441646267824439,58,48,1.5951383439110201,0.63902463380290353,3.8293013216249436,3.1902766878220401,0,1,18.338909739397042
Inflation,CPILFESL,2,mid_month,2025-01,Inflation Ridge-AR Ensemble,long_memory,2025-01-15,2025-02-12,2.2341629777139236,5.3441646267824439,58,48,1.9619854040524567,0.27217757366146689,4.1961483817663803,3.9239708081049134,0,1,15.404133258265549
Inflation,CPILFESL,3,month_end,2025-01,Inflation Ridge-AR Ensemble,short_memory,2025-01-31,2025-02-12,2.2341629777139236,5.3441646267824439,59,48,1.5951383439110201,0.63902463380290353,3.8293013216249436,3.1902766878220401,0,1,18.338909739397042
Inflation,CPILFESL,3,month_end,2025-01,Inflation Ridge-AR Ensemble,long_memory,2025-01-31,2025-02-12,2.2341629777139236,5.3441646267824439,59,48,2.0452345986770748,0.18892837903684878,4.2793975763909984,4.0904691973541496,0,1,14.738139701268604
Inflation,CPILFESL,4,pre_release,2025-01,Inflation Ridge-AR Ensemble,short_memory,2025-02-11,2025-02-12,2.2245725693047902,5.3441646267824439,59,48,1.5402309598672783,0.68434160943751188,3.7648035291720685,3.0804619197345566,0,1,18.87407289583831
Inflation,CPILFESL,4,pre_release,2025-01,Inflation Ridge-AR Ensemble,long_memory,2025-02-11,2025-02-12,2.2245725693047902,5.3441646267824439,59,48,1.9350969844621124,0.28947558484267777,4.1596695537669026,3.8701939689242248,0,1,15.715144699079637
Inflation,CPILFESL,1,month_open,2025-02,Inflation 12-Month Mean,short_memory,2025-02-01,2025-03-12,3.1966679944231302,2.7166452189845813,58,48,2.0887305108049148,1.1079374836182154,5.285398505228045,4.1774610216098296,1,0,4.1774610216098296
Inflation,CPILFESL,1,month_open,2025-02,Inflation 12-Month Mean,long_memory,2025-02-01,2025-03-12,3.1966679944231302,2.7166452189845813,58,48,2.48999788683264,0.7066701075904902,5.6866658812557702,4.97999577366528,1,0,4.97999577366528
Inflation,CPILFESL,2,mid_month,2025-02,Inflation Ridge-AR Ensemble,short_memory,2025-02-15,2025-03-12,4.3148921090567249,2.7166452189845813,60,48,1.8587045709811321,2.4561875380755929,6.173596680037857,3.7174091419622641,1,0,3.7174091419622641
Inflation,CPILFESL,2,mid_month,2025-02,Inflation Ridge-AR Ensemble,long_memory,2025-02-15,2025-03-12,4.3148921090567249,2.7166452189845813,60,48,2.0733324949215053,2.2415596141352196,6.3882246039782302,4.1466649898430106,1,0,4.1466649898430106
Inflation,CPILFESL,3,month_end,2025-02,Inflation Ridge-AR Ensemble,short_memory,2025-02-28,2025-03-12,4.3148921090567249,2.7166452189845813,60,48,1.8587045709811321,2.4561875380755929,6.173596680037857,3.7174091419622641,1,0,3.7174091419622641
Inflation,CPILFESL,3,month_end,2025-02,Inflation Ridge-AR Ensemble,long_memory,2025-02-28,2025-03-12,4.3148921090567249,2.7166452189845813,60,48,2.1932713820092142,2.1216207270475107,6.5081634910659396,4.3865427640184285,1,0,4.3865427640184294
Inflation,CPILFESL,4,pre_release,2025-02,Inflation Ridge-AR Ensemble,short_memory,2025-03-11,2025-03-12,4.3075787165678854,2.7166452189845813,60,48,1.6137530631356301,2.6938256534322553,5.9213317797035154,3.2275061262712601,1,0,3.2275061262712601
Inflation,CPILFESL,4,pre_release,2025-02,Inflation Ridge-AR Ensemble,long_memory,2025-03-11,2025-03-12,4.3075787165678854,2.7166452189845813,60,48,2.0860519852082411,2.2215267313596443,6.3936307017761269,4.1721039704164822,1,0,4.1721039704164831
Inflation,CPILFESL,1,month_open,2025-03,Inflation 12-Month Mean,short_memory,2025-03-01,2025-04-10,3.2390710102012221,0.67820143281487333,59,48,2.0972959183529483,1.1417750918482739,5.3363669285541704,4.1945918367058965,0,1,8.8303284270399018
Inflation,CPILFESL,1,month_open,2025-03,Inflation 12-Month Mean,long_memory,2025-03-01,2025-04-10,3.2390710102012221,0.67820143281487333,59,48,2.48999788683264,0.74907312336858212,5.7290688970338621,4.97999577366528,0,1,5.6887126792023679
Inflation,CPILFESL,2,mid_month,2025-03,Inflation Ridge-AR Ensemble,short_memory,2025-03-15,2025-04-10,2.8685882644265188,0.67820143281487333,61,48,1.8587045709811321,1.0098836934453868,4.7272928354076509,3.7174091419622641,0,1,7.0342317482673984
Inflation,CPILFESL,2,mid_month,2025-03,Inflation Ridge-AR Ensemble,long_memory,2025-03-15,2025-04-10,2.8685882644265188,0.67820143281487333,61,48,2.0733324949215053,0.79525576950501353,4.9419207593480241,4.1466649898430106,0,1,5.3172083567444126
Inflation,CPILFESL,3,month_end,2025-03,Inflation Ridge-AR Ensemble,short_memory,2025-03-31,2025-04-10,2.8685882644265188,0.67820143281487333,61,48,1.8587045709811321,1.0098836934453868,4.7272928354076509,3.7174091419622641,0,1,7.0342317482673984
Inflation,CPILFESL,3,month_end,2025-03,Inflation Ridge-AR Ensemble,long_memory,2025-03-31,2025-04-10,2.8685882644265188,0.67820143281487333,61,48,2.1932713820092142,0.67531688241730459,5.0618596464357335,4.3865427640184285,1,0,4.3865427640184294
Inflation,CPILFESL,4,pre_release,2025-03,Inflation Ridge-AR Ensemble,short_memory,2025-04-09,2025-04-10,2.8578943345784209,0.67820143281487333,61,48,1.6137530631356301,1.2441412714427909,4.471647397714051,3.2275061262712601,0,1,8.8869045125504353
Inflation,CPILFESL,4,pre_release,2025-03,Inflation Ridge-AR Ensemble,long_memory,2025-04-09,2025-04-10,2.8578943345784209,0.67820143281487333,61,48,2.0860519852082411,0.77184234937017981,4.9439463197866615,4.1721039704164822,0,1,5.1085131359695461
Inflation,CPILFESL,1,month_open,2025-04,Inflation 12-Month Mean,short_memory,2025-04-01,2025-05-13,3.0952660529359299,2.8376507842686749,60,48,2.0972959183529483,0.99797013458298167,5.1925619712888782,4.1945918367058965,1,0,4.1945918367058965
Inflation,CPILFESL,1,month_open,2025-04,Inflation 12-Month Mean,long_memory,2025-04-01,2025-05-13,3.0952660529359299,2.8376507842686749,60,48,2.48999788683264,0.60526816610328993,5.5852639397685699,4.97999577366528,1,0,4.97999577366528
Inflation,CPILFESL,2,mid_month,2025-04,Inflation Ridge-AR Ensemble,short_memory,2025-04-15,2025-05-13,1.5543670679004937,2.8376507842686749,62,48,2.0452345986770748,-0.49086753077658107,3.5996016665775685,4.0904691973541496,1,0,4.0904691973541496
