domain_name,target_series,transition_order,earlier_stage,later_stage,alternative_fixed_model,eligible_pairs,excluded_same_hash_pairs,mean_delta_squared_error,median_delta_squared_error,squared_error_improvement_share,hac_bw_sq,hac_se_sq,hac_z_sq,hac_p_sq,mean_delta_abs_error,median_delta_abs_error,abs_error_improvement_share,hac_bw_abs,hac_se_abs,hac_z_abs,hac_p_abs,primary_mean_delta_squared_error,primary_mean_delta_abs_error,sq_sign_concordant_with_primary,abs_sign_concordant_with_primary
Inflation,PCEPILFE,1,month_open,mid_month,Inflation Ridge-AR Ensemble,38,0,-0.036529402026769069,-0.019527339473243636,0.63157894736842102,3,0.040276362255295864,-0.90696875242167352,0.36442332166492242,-0.033243383909620589,-0.018613043075992541,0.63157894736842102,3,0.020114073318076874,-1.6527425044107884,0.09838327997021068,-0.096921102951980698,-0.034572016648712803,1,1
Inflation,PCEPILFE,2,mid_month,month_end,Inflation Ridge-AR Ensemble,39,0,-0.39236462624011931,-0.013129882875549153,0.53846153846153844,3,0.14977662999592084,-2.6196652057854775,0.0088016129016659228,-0.1287403601328713,-0.079128046813117248,0.53846153846153844,3,0.06986557421228462,-1.8426866390834671,0.065374775891900549,-0.23202315850132901,-0.068129053815591395,1,1
Inflation,PCEPILFE,3,month_end,pre_release,Inflation Ridge-AR Ensemble,40,0,-0.0093955056962509199,0.01946501677510782,0.375,3,0.023227689747631963,-0.40449591837727994,0.68584807873205267,0.0093143659882723717,0.012049451111534992,0.375,3,0.0093625485604374517,0.99485369054653761,0.31980742876259893,0.027128814234872001,0.0203072039876297,0,1
Labour,CES0500000003,1,month_open,after_week_1,Labour Equal-Weight Ensemble,41,0,-0.060353315677240504,-0.025208223804968455,0.56097560975609762,3,0.054661382188914399,-1.1041308005833863,0.26953640206343765,-0.021799936369596803,-0.011875858637548919,0.56097560975609762,3,0.023725661003397396,-0.91883367828930718,0.35818257397420439,-0.030787519839260799,-0.026126114344864799,1,1
Labour,CES0500000003,2,after_week_1,after_week_2,Labour Equal-Weight Ensemble,41,0,0.025988350382627538,0,0.48780487804878048,3,0.030250649538829003,0.85910057399823825,0.3902850306731287,0.002973997982998832,0,0.48780487804878048,3,0.014552104760328923,0.20436892339494198,0.83806521320642546,0.1934093517822458,0.097439808085602903,1,1
Labour,CES0500000003,3,after_week_2,month_end,Labour Equal-Weight Ensemble,41,0,0.029768732901658213,0.00036419701509540553,0.46341463414634149,3,0.038282129244298496,0.77761434615321934,0.43679640099443517,0.0076674989440509139,0.0033454777161856519,0.46341463414634149,3,0.013106191675435506,0.58502875083246719,0.55852838490497647,-0.12099900532298941,-0.041190495382175202,0,0
Labour,CES0500000003,4,month_end,pre_employment_report,Labour Equal-Weight Ensemble,38,3,-0.015349265188092397,0.00034495640681747597,0.44736842105263158,3,0.039169116380092434,-0.39187162250853347,0.69515307140816485,0.0037517756245979183,0.00064865466867480848,0.44736842105263158,3,0.017391371738463644,0.21572626248338422,0.82920112868803542,0.0395658603552679,-0.0026014148887984001,0,0
Labour,PAYEMS,1,month_open,after_week_1,Labour 12-Month Mean,41,0,-290.73052168021627,0,0.41463414634146339,3,317.52992603133816,-0.91560038234482199,0.35987653073515635,-2.8272357723577217,0,0.41463414634146339,3,1.5259794710946262,-1.8527351290837939,0.06392033229123073,9835.2158146694073,31.515190081132577,0,0
Labour,PAYEMS,2,after_week_1,after_week_2,Labour 12-Month Mean,41,0,-397.10941734417378,0,0.14634146341463414,3,489.63370569163544,-0.81103366195600068,0.41734633989068204,-1.2276422764227659,0,0.14634146341463414,3,1.5800560031156459,-0.77696124314709725,0.43718163668960286,2316.7619185795552,4.6301096368760959,0,0
Labour,PAYEMS,3,after_week_2,month_end,Labour 12-Month Mean,41,0,-42.989498644986512,0,0.12195121951219512,3,206.07890798050508,-0.20860698004597972,0.83475506116950893,-0.15853658536585383,0,0.12195121951219512,3,0.9734558580428273,-0.1628595524450365,0.87062901804309112,-5297.861116244806,-14.294520055375241,1,1
Labour,PAYEMS,4,month_end,pre_employment_report,Labour 12-Month Mean,38,3,-674.8581871345034,0,0.39473684210526316,3,427.92159837332503,-1.5770603533447902,0.1147816386353766,-1.6052631578947361,0,0.39473684210526316,3,1.7406188404809784,-0.92223703464634454,0.35640494931681133,-1637.8107034001162,2.6583007193863124,1,0
Labour,UNRATE,1,month_open,after_week_1,Labour AR(1),40,0,0.0023924051800569045,0,0.27500000000000002,3,0.0048228117352172003,0.49606024688607508,0.61985190531298229,0.00033988476182996721,0,0.27500000000000002,3,0.011845219497038503,0.028693833990576866,0.97710877410724972,-0.0055343651777133998,-0.0065922185285825999,0,0
Labour,UNRATE,2,after_week_1,after_week_2,Labour AR(1),40,0,-0.00018682438963265184,0,0.074999999999999997,3,0.00061004783974066465,-0.30624547365346316,0.75941775157324876,0.0014786994888848493,0,0.074999999999999997,3,0.0036778339469350965,0.40205716468442404,0.68764195641938031,0.0022854349401406999,0.0038074797867211998,0,1
Labour,UNRATE,3,after_week_2,month_end,Labour AR(1),40,0,-0.00073566615085661491,0,0.17499999999999999,3,0.0013880322649537727,-0.53000652033194318,0.59610741002033008,-0.0022711102787071223,0,0.17499999999999999,3,0.0068765014924682642,-0.33027118240207431,0.7411950654995263,-0.0019986880733619001,-0.00031908912518790002,1,1
Labour,UNRATE,4,month_end,pre_employment_report,Labour AR(1),37,3,-0.0033589360748221002,0,0.48648648648648651,3,0.0023509208754617212,-1.4287746175899709,0.1530690232072025,-0.007071424957904777,0,0.48648648648648651,3,0.0091306070186155403,-0.77447479050270263,0.43865007047084781,-0.0097184153328390005,-0.016319301491961501,1,1
